"BehaviorSpace results (NetLogo 6.1.1)"
"SIsaR_0.9.4.2TRIALS_wave2.nlogo"
"experiments 2 seeds"
"11/27/2020 01:13:26:794 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","50","0","50"
"[run number]","[step]","seed0","seed","cp1cRed","cp1cRedNH","cp1cViolet","cp1cVioletNH","cp1cDead","cp2cRed","cp2cRedNH","cp2cViolet","cp2cVioletNH","cp2cDead","cp3cRed","cp3cRedNH","cp3cViolet","cp3cVioletNH","cp3cDead","cp4cRed","cp4cRedNH","cp4cViolet","cp4cVioletNH","cp4cDead","cumulativeRedCount","cumulativeVioletCount","cumulativeDeadCount","ticks","TinfSch","SinfSch","TinfNotSch","SinfNotSch"
"124","293","1129603","1131107","25","12","18","3","0","80","24","143","3","0","247","24","499","3","0","274","24","517","3","0","275","518","0","294","0","0","1","4"
"126","209","1148828","1150247","15","5","14","1","0","72","11","192","2","0","142","11","361","2","3","-1","-1","-1","-1","-1","142","361","3","210","0","0","2","6"
"128","73","1378009","1379613","7","0","7","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","9","10","0","74","0","2","1","0"
"131","89","1385674","1387183","5","2","3","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","16","8","0","90","0","0","0","0"
"130","178","1179940","1181452","23","1","116","0","1","154","38","210","6","3","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","155","213","3","179","0","1","0","5"
"129","148","1175166","1176763","72","15","175","3","0","315","67","428","18","2","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","323","435","2","149","0","0","2","1"
"134","118","1206465","1208007","17","13","9","2","0","58","48","39","14","1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","58","39","1","119","0","0","0","1"
"133","266","1204586","1206031","51","1","134","0","0","224","56","250","16","1","242","56","328","16","1","264","56","361","16","1","264","361","1","267","0","0","3","3"
"132","272","1394282","1395741","84","37","76","10","1","480","49","570","13","8","617","49","939","13","9","625","49","950","13","9","625","950","9","273","0","0","11","27"
"135","273","1218785","1220241","10","0","8","0","0","82","0","169","0","1","168","0","356","0","4","183","0","364","0","4","183","364","4","274","0","0","1","3"
"137","83","1458095","1459580","0","0","7","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","6","14","0","84","0","0","0","2"
"138","73","1256786","1258524","10","9","2","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","16","6","0","74","0","1","1","0"
"136","226","1245685","1247148","6","0","7","0","0","16","0","15","0","0","53","0","140","0","2","-1","-1","-1","-1","-1","54","142","2","227","0","0","1","1"
"140","76","1264477","1265942","3","0","3","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","4","6","0","77","0","0","0","0"
"142","141","1272053","1273504","5","0","3","0","0","15","0","9","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","16","11","0","142","0","0","0","0"
