"BehaviorSpace results (NetLogo 6.1.1)"
"SIsaR_0.9.4.2TRIALS.nlogo"
"experiments 2 seeds"
"08/27/2020 00:27:22:559 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","50","0","50"
"[run number]","[step]","seed0","seed","cp1cRed","cp1cRedNH","cp1cViolet","cp1cVioletNH","cp1cDead","cp2cRed","cp2cRedNH","cp2cViolet","cp2cVioletNH","cp2cDead","cp3cRed","cp3cRedNH","cp3cViolet","cp3cVioletNH","cp3cDead","cp4cRed","cp4cRedNH","cp4cViolet","cp4cVioletNH","cp4cDead","cumulativeRedCount","cumulativeVioletCount","cumulativeDeadCount","ticks","TinfSch","SinfSch","TinfNotSch","SinfNotSch"
"141","111","2494443","2495767","5","0","8","0","0","10","0","16","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","10","16","0","112","0","0","1","0"
"142","252","1713595","1715194","36","2","113","2","1","184","8","405","4","3","225","8","486","4","3","-1","-1","-1","-1","-1","232","487","3","253","0","0","1","3"
"143","346","2502073","2503165","9","0","14","0","0","41","0","157","0","0","104","0","314","0","0","151","0","468","0","1","163","489","1","347","0","0","3","4"
"144","221","1740891","1742110","72","34","103","1","4","172","36","288","2","7","239","65","358","10","7","-1","-1","-1","-1","-1","239","359","7","222","0","0","0","5"
"145","235","2536229","2537281","19","0","69","0","0","147","0","347","0","2","272","0","541","0","5","-1","-1","-1","-1","-1","275","544","5","236","0","0","3","6"
"146","253","1764527","1765755","20","11","33","3","0","108","11","254","3","1","129","11","290","3","1","-1","-1","-1","-1","-1","133","291","1","254","1","0","3","3"
"147","186","2563658","2564755","5","0","3","0","0","18","0","98","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","40","126","0","187","0","0","0","2"
"148","83","1787601","1788802","1","0","5","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","3","8","0","84","1","1","0","1"
"149","164","2577578","2578641","21","0","68","0","0","109","0","217","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","117","228","0","165","0","0","1","4"
"150","237","1792768","1794014","4","0","8","0","0","38","0","157","0","0","100","0","322","0","1","-1","-1","-1","-1","-1","101","324","1","238","0","0","1","0"
"151","330","2593007","2594066","7","0","14","0","0","22","0","74","0","0","43","0","123","0","1","54","0","160","0","1","57","166","2","331","0","0","2","1"
"152","292","1815835","1817041","14","14","8","2","0","45","15","168","2","1","91","15","308","2","1","96","15","311","2","1","96","314","1","293","1","0","5","1"
"153","203","2619031","2620102","10","8","7","2","0","32","10","152","3","1","42","10","175","3","1","-1","-1","-1","-1","-1","42","175","1","204","2","0","3","4"
"155","40","2634925","2636013","1","0","3","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","1","3","0","41","0","0","0","1"
"154","262","1841623","1842835","8","0","3","0","0","15","0","11","0","2","47","0","161","0","2","62","0","168","0","4","62","168","4","263","0","0","1","0"
"157","129","1862589","1863839","13","0","33","0","0","52","16","94","2","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","52","95","0","130","0","0","2","2"
"156","375","2638669","2639768","3","0","8","0","0","73","0","167","0","2","132","0","327","0","2","193","0","389","0","3","204","400","3","376","0","0","3","8"
"158","299","1872422","1873661","13","0","36","0","0","207","0","408","0","2","289","0","579","0","2","295","0","584","0","2","295","587","2","300","1","0","2","6"
"159","334","2673993","2675078","4","0","4","0","0","53","0","276","0","1","134","0","459","0","6","171","0","588","0","7","197","621","8","335","0","0","4","5"
"161","200","2708380","2709453","35","0","114","0","0","95","0","224","0","0","116","0","316","0","0","-1","-1","-1","-1","-1","116","316","0","201","0","0","2","1"
"160","319","1905991","1907304","9","0","8","0","0","133","0","341","0","0","430","49","708","14","3","462","49","752","14","3","466","764","3","320","0","0","6","19"
"162","187","2727388","2728436","4","0","4","0","0","7","0","92","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","33","142","0","188","0","0","2","0"
"164","39","2741634","2742681","1","0","5","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","1","5","0","40","0","1","0","1"
