"BehaviorSpace results (NetLogo 6.2.0)"
"./model/SIsaR_0.9.5.4.1trials10kCtrl1NStartNoFrag60-25.nlogo"
"experiments 2 seeds"
"03/21/2021 16:05:27:209 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","50","0","50"
"[run number]","run#","[step]","seed0","seed","seedD","cp1cRed","cp1cRedNH","cp1cViolet","cp1cVioletNH","cp1cDead","cp2cRed","cp2cRedNH","cp2cViolet","cp2cVioletNH","cp2cDead","cp3cRed","cp3cRedNH","cp3cViolet","cp3cVioletNH","cp3cDead","cp4cRed","cp4cRedNH","cp4cViolet","cp4cVioletNH","cp4cDead","cp5cRed","cp5cRedNH","cp5cViolet","cp5cVioletNH","cp5cDead","cp6cRed","cp6cRedNH","cp6cViolet","cp6cVioletNH","cp6cDead","cumulativeRedCount","cumulativeVioletCount","cumulativeDeadCount","ticks","TinfSch","SinfSch","TinfNotSch","SinfNotSch"
"26","26","591","34728713","70006978","68140195","3","0","4","0","0","22","0","24","0","0","22","0","26","0","0","42","0","43","0","0","120","0","190","0","1","444","0","773","0","8","538","858","9","592","6","12","5","10"
"53","53","327","95064137","96692942","31028043","36","3","66","0","0","269","57","357","13","5","640","57","872","13","5","684","57","930","13","5","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","684","930","5","328","4","8","12","17"
"50","50","361","27342177","24644960","69646429","14","14","7","1","0","98","14","110","1","1","481","14","660","1","5","690","14","1002","1","8","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","694","1006","8","362","1","8","13","25"
"31","31","651","6053550","31640199","74275454","2","0","1","0","0","4","0","5","0","0","4","0","7","0","0","55","0","149","0","0","147","0","275","0","0","379","0","643","0","4","518","868","8","652","7","10","2","14"
"75","75","269","43602502","6539537","13623925","2","0","4","0","0","4","0","6","0","0","7","0","6","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","8","7","1","270","0","0","0","0"
"15","15","670","66508631","45421485","89682049","4","0","4","0","0","23","12","14","2","0","25","12","15","2","0","82","12","83","2","1","195","12","233","2","3","390","12","511","2","6","611","852","10","671","4","8","4","14"
"81","81","231","17298549","56935591","13196045","2","0","7","0","0","15","0","20","0","0","16","0","21","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","16","21","0","232","0","0","0","1"
"52","52","573","51990466","27181894","88825285","6","0","3","0","0","27","0","23","0","1","29","0","24","0","1","119","0","204","0","3","207","0","365","0","4","293","42","430","9","6","304","436","6","574","1","2","3","4"
"85","85","242","75515525","11893143","9995517","2","0","3","0","0","11","0","10","0","0","13","0","10","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","13","10","0","243","0","0","0","1"
"84","84","255","19825112","69328332","79760146","1","0","1","0","0","1","0","1","0","0","1","0","3","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","2","3","0","256","0","0","0","0"
"54","54","583","51793955","62260395","53807479","0","0","3","0","0","9","0","15","0","0","12","0","17","0","1","56","0","131","0","1","168","0","259","0","2","317","34","468","12","3","342","493","4","584","1","3","3","11"
"63","63","364","83264830","91022468","27593117","25","0","45","0","0","290","0","363","0","2","374","0","440","0","3","464","0","542","0","4","468","0","544","0","4","-1","-1","-1","-1","-1","468","544","4","365","0","0","4","17"
"55","55","371","81467598","43587015","66443560","8","0","11","0","0","135","0","163","0","3","812","41","1080","15","12","923","41","1230","15","18","927","41","1236","15","18","-1","-1","-1","-1","-1","927","1236","18","372","6","15","19","30"
"59","59","358","27574528","93457441","62556178","7","1","15","1","0","224","27","295","4","0","662","27","867","4","15","786","27","1141","4","19","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","786","1143","19","359","2","10","13","36"
"64","64","354","29805802","56959154","78506411","4","1","8","0","0","106","12","181","5","0","391","12","644","5","6","506","12","815","5","7","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","507","820","7","355","1","4","8","11"
"77","77","341","78185770","68797777","31679647","21","0","24","0","0","134","9","199","2","1","135","9","201","2","1","142","9","210","2","1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","144","210","1","342","0","0","0","2"
"65","65","396","4298299","54766922","4845750","38","15","88","6","0","327","55","413","14","7","427","55","580","14","7","456","55","609","14","7","460","55","611","14","7","-1","-1","-1","-1","-1","461","613","7","397","1","3","5","12"
"94","94","316","903236","48929869","98422075","2","0","3","0","0","18","13","11","4","0","20","13","11","4","0","31","13","18","4","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","31","18","0","317","0","0","0","0"
"62","62","462","36216771","83776229","5532914","27","21","18","10","1","104","21","144","10","2","198","21","278","10","3","430","43","690","20","6","544","64","834","20","8","583","64","873","20","8","583","873","8","463","1","2","7","10"
"92","92","331","8860811","28128229","56436203","4","0","1","0","0","4","0","3","0","0","4","0","6","0","0","14","0","7","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","14","8","0","332","0","1","0","1"
"61","61","377","19096194","73249460","93199948","5","0","7","0","0","82","0","105","0","0","489","0","776","0","5","759","33","1125","14","11","777","40","1146","20","11","-1","-1","-1","-1","-1","777","1146","11","378","6","10","14","22"
"93","93","338","17829814","93524388","79021064","1","0","3","0","0","1","0","8","0","0","2","0","9","0","0","8","0","17","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","8","18","0","339","0","0","0","1"
"57","57","581","22466764","9847939","62027305","4","2","14","0","0","47","7","42","1","0","49","7","43","1","0","68","7","62","1","0","129","7","205","1","1","336","7","590","1","6","441","759","8","582","0","2","4","7"
"100","100","268","21097325","51036985","36214087","0","0","5","0","0","4","0","10","0","0","8","0","10","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","9","12","0","269","0","0","2","1"
"97","97","298","97121983","29066408","52602886","0","0","7","0","0","45","0","39","0","1","46","0","40","0","1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","48","41","1","299","0","0","1","1"
"99","99","306","79433548","623929","13209129","17","14","4","2","0","29","14","19","2","2","29","14","21","2","2","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","34","23","2","307","0","0","0","2"
"88","88","327","82336286","81116184","26157663","32","0","99","0","0","197","50","251","10","5","198","50","255","10","5","208","50","272","10","5","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","208","272","5","328","2","0","3","6"
"101","101","255","9400056","60131389","9026523","3","0","7","0","0","14","0","18","0","0","14","0","20","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","15","20","0","256","1","0","0","1"
"58","58","394","9031426","46454836","87029759","5","0","8","0","0","50","0","57","0","1","545","9","764","5","9","960","57","1407","14","16","966","57","1419","14","16","-1","-1","-1","-1","-1","968","1420","16","395","3","24","20","53"
"106","106","242","83380735","60851782","40723134","3","0","4","0","0","5","0","10","0","0","6","0","11","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","6","11","0","243","0","0","0","0"
"107","107","229","71432480","85281677","97823480","7","1","6","0","0","35","16","32","3","1","35","16","33","3","1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","35","33","1","230","0","0","0","1"
"83","83","414","71301457","70002627","24786673","5","0","7","0","0","15","0","18","0","0","18","0","21","0","0","170","0","378","0","3","250","0","445","0","3","-1","-1","-1","-1","-1","257","456","4","415","0","0","1","2"
"72","72","451","63179522","45965243","92668616","4","0","4","0","0","55","26","27","7","0","58","26","33","7","0","288","26","392","7","3","354","26","562","7","3","-1","-1","-1","-1","-1","384","598","3","452","3","0","3","7"
