"BehaviorSpace results (NetLogo 6.1.2-beta2)"
"SIsaR_0.9.5.2TRIALS_wave2BchangeWorld.nlogo"
"experiments 2 seeds"
"12/09/2020 20:41:49:228 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","50","0","50"
"[run number]","run#","[step]","seed0","seed","cp1cRed","cp1cRedNH","cp1cViolet","cp1cVioletNH","cp1cDead","cp2cRed","cp2cRedNH","cp2cViolet","cp2cVioletNH","cp2cDead","cp3cRed","cp3cRedNH","cp3cViolet","cp3cVioletNH","cp3cDead","cp4cRed","cp4cRedNH","cp4cViolet","cp4cVioletNH","cp4cDead","cp5cRed","cp5cRedNH","cp5cViolet","cp5cVioletNH","cp5cDead","cp6cRed","cp6cRedNH","cp6cViolet","cp6cVioletNH","cp6cDead","cumulativeRedCount","cumulativeVioletCount","cumulativeDeadCount","ticks","TinfSch","SinfSch","TinfNotSch","SinfNotSch"
"62","62","230","36216771","83776229","27","21","18","10","1","104","21","144","10","2","118","21","158","10","2","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","118","158","2","231","0","0","0","3"
"61","61","297","19096194","73249460","5","0","7","0","0","82","0","105","0","0","230","0","417","0","3","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","244","425","3","298","0","0","2","3"
"58","58","514","9031426","46454836","5","0","8","0","0","50","0","57","0","1","253","34","337","2","3","553","34","817","2","13","0","0","0","0","0","0","0","0","0","0","555","822","13","515","1","3","12","16"
"63","63","233","83264830","91022468","25","0","45","0","0","290","0","363","0","2","316","0","379","0","3","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","316","379","3","234","0","0","2","13"
"67","67","119","29650529","56583756","3","0","4","0","0","12","0","11","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","12","11","0","120","0","0","1","0"
"64","64","328","29805802","56959154","4","1","8","0","0","106","12","181","5","0","271","12","516","5","3","300","12","531","5","3","0","0","0","0","0","0","0","0","0","0","300","531","3","329","0","0","4","4"
"66","66","390","54979859","45241196","7","0","4","0","0","35","0","62","0","0","196","0","420","0","2","282","0","550","0","3","0","0","0","0","0","0","0","0","0","0","282","551","3","391","0","2","6","5"
"65","65","381","4298299","54766922","38","15","88","6","0","327","55","413","14","7","357","55","518","14","7","417","55","608","14","8","0","0","0","0","0","0","0","0","0","0","417","608","8","382","0","0","3","9"
"71","71","86","98776243","51313506","5","0","6","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","18","19","2","87","0","0","0","1"
"72","72","162","63179522","45965243","4","0","4","0","0","55","26","27","7","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","56","28","0","163","0","0","0","1"
"68","68","347","40027512","94611420","21","1","55","0","0","371","56","460","13","5","588","56","870","13","7","628","56","923","13","7","0","0","0","0","0","0","0","0","0","0","628","924","7","348","1","1","8","16"
"73","73","65","33022682","85741840","3","0","2","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","4","2","0","66","0","0","0","0"
"75","75","65","43602502","6539537","2","0","4","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","4","6","0","66","0","0","0","0"
"70","70","315","3236577","71551615","27","20","34","4","0","149","66","143","10","2","276","66","445","10","2","312","66","479","10","2","0","0","0","0","0","0","0","0","0","0","312","479","2","316","0","1","4","3"
"69","69","515","10043041","62941907","25","10","24","6","0","141","40","142","15","0","293","48","468","19","2","470","48","790","19","6","0","0","0","0","0","0","0","0","0","0","475","794","7","516","2","7","4","13"
"77","77","153","78185770","68797777","21","0","24","0","0","134","9","199","2","1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","135","199","1","154","0","0","0","2"
"74","74","338","93186787","18615886","33","0","72","1","0","226","19","284","9","3","428","60","581","14","8","479","60","677","14","8","0","0","0","0","0","0","0","0","0","0","479","678","8","339","0","2","8","8"
"79","79","204","15383326","97888160","7","0","9","0","0","50","0","130","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","78","156","1","205","0","0","5","5"
"76","76","355","55719211","33534682","28","18","12","6","0","52","18","40","6","0","167","18","258","6","1","286","18","488","6","2","0","0","0","0","0","0","0","0","0","0","289","492","3","356","0","0","1","5"
"80","80","46","62600042","33962389","1","0","4","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","1","6","0","47","0","0","0","0"
"81","81","126","17298549","56935591","2","0","7","0","0","15","0","20","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","15","20","0","127","0","0","0","0"
"83","83","97","71301457","70002627","5","0","7","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","15","18","0","98","0","0","0","1"
"84","84","20","19825112","69328332","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","1","1","0","21","0","0","0","0"
"85","85","103","75515525","11893143","2","0","3","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","11","10","0","104","0","0","0","1"
"86","86","131","99568920","33246185","6","1","12","0","0","55","11","86","4","3","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","56","86","3","132","1","1","2","4"
"78","78","396","49620288","98331538","4","1","4","0","0","45","11","44","3","1","260","32","440","6","3","341","38","505","9","4","0","0","0","0","0","0","0","0","0","0","341","507","4","397","1","0","3","9"
"89","89","70","39497663","77821173","8","0","5","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","11","10","1","71","0","0","0","1"
"82","82","321","65298249","8300889","27","0","55","0","1","148","0","210","0","3","234","0","471","0","3","276","0","545","0","6","0","0","0","0","0","0","0","0","0","0","276","545","6","322","0","0","3","2"
"88","88","141","82336286","81116184","32","0","99","0","0","197","50","251","10","5","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","197","252","5","142","0","0","2","4"
"92","92","46","8860811","28128229","4","0","1","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","4","3","0","47","0","0","0","0"
"93","93","68","17829814","93524388","1","0","3","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","1","8","0","69","0","0","0","0"
"90","90","288","52070465","67179992","10","0","17","0","0","54","0","102","0","2","128","0","227","0","2","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","134","231","2","289","0","2","4","5"
